,Description,Price,Unit
54,"20P-2000 Fiberglass Strut - No Holes, 1-5/8"" Deep, 1-5/8"" Wide, 10' Length, Black",24.32,FT
55,"PS 200 2T3 20' PGAL Strut - Back To Back, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 20'",47.79,FT
56,RA-225-10 HD SLTD RT ANG STRUT 14GA 10FT STL,14.62,FT
57,"P1001T10HG UNISTR P1001T-10HG STRUT,B2BTSLOT,1",63.84,FT
58,PS 150 10' PGAL Atkore PS-150-10-PG,47.18,FT
59,"PS 200 EH 20' HDG Strut - EH, HDG Steel, 1-5/8"" x 1-5/8"" x 20'",24.39,FT
60,"PS 560 10' PGAL Steel Strut, 1-5/8"" X 13/16"" X 16 Ga, 10 Ft",25.80,FT
61,"PS 500 10' HDG Strut - No Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 13/16"" x 10'",64.52,FT
62,"PS 100 10' PGAL Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 10'",31.33,FT
63,"B22S-120GLV Strut w/ Elongated Slots, 1-5/8"" x 1-5/8"" x 10', Steel, Galvanized",,
64,"B22D-120HDG  STRUT, 1 5/8"" X 1 5/8"", BACK TO SIDE, 12 GA, 120"", HD G",310.27,FT
65,"A12-G PVC Coated Strut, No Holes, 1-5/8"" Deep, 10' Length, Steel, Gray",61.86,FT
66,B-900-10  STRUT 12GA 1.5X1.5 10FT STL,15.78,FT
67,"B22KO6-120GLV Strut, 1 5/8-IN. X 1 5/8-IN., 7/8-IN. KNOCKOUTS, 12 GA., 120-IN. (10 FT), GALV",70.28,FT
68,"B22SHA-120HDG Strut, 1 5/8-IN. X 1 5/8-IN., BACK TO BACK, 9/16-IN. X 7/8-IN. SLOTS, 12 GA.,",147.82,FT
69,"PBSH1000-10 Strut, with Slotted Holes, PVC Coated Steel, 1-5/8"" x 1-5/8"" x 10'",33.47,FT
70,"B1400HS 10T316SS Strut - Elongated Holes, Stainless Steel, 1-5/8"" x 13/16"" x 10'",122.62,FT
71,RA-160-12 Metal Framing,16.57,FT
72,"B22-120GLV Strut - No Holes, 1-5/8"" x 1-5/8"" x 10', Steel, Galvanized",31.33,FT
73,"B22SH-120SS6 Strut - Elongated Holes, Stainless Steel 316, 1-5/8"" x 1-5/8"" x 10'",283.66,FT
74,"B217PGRY120 PLASTIC CLOSURE STRIP, 120"" (10 FT), GRAY",22.36,FT
75,B-901-10 Steel Strut,51.05,FT
76,"B42SH-120GLV Strut, 1-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 12 GA., 120-IN.",37.50,FT
77,"B54-120 SS4 Strut, 13/16-IN. X 1 5/8-IN., 14 GA., 120-IN. (10 FT), STAINLESS STEEL 304",139.90,FT
78,"PS 500 H 10' HDG Strut - Elongated Holes, Steel, Hot Dip Galvanized, 1-5/8"" x 13/16"" x 10'",30.57,FT
79,PS 707P 10' GREY Strut Closure Strip,25.54,FT
80,"B72-120GLV Strut, 13/32-IN. X 13/16-IN., 18 GA., 120-IN. (10 FT), GALVANIZED",33.32,FT
81,"PBP1001-10 Strut, Back-to-Back, No Holes, 1.67"" x 3.29"" x 10', PVC Coated Steel",58.04,FT
82,A1200HS-10EG HS STRUT 1-5/8X1-5/8 10FT EG,18.73,FT
83,"B22SH-120GRN Strut, 1 5/8-IN. X 1 5/8-IN., 9/16-IN. X 1 1/8-IN. SLOTTED HOLES, 12 GA., 120-",74.84,FT
84,"PS 100 EH 10' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 10'",14.43,FT
