,Description,Price,Unit
307,SP A1200HS 10B STANDARD StrutS 1 5/8 BY 1 5/8,163.27,FT
308,C14-B PVC CTD Strut STRUT 10FT GRY,44.80,FT
309,A1200KO 20PG GALV KO CHANNL,42.28,EA
310,A1400S-10HDG STANDARD StrutS (HOT DIP GALV FIN,203.88,FT
311,E1200P-10HDG Strut 1 5/8 BY 2 7/8HOT DIP,149.06,EA
312,H1200HS 10GR GRN SLOT STRUT,170.54,FT
313,H1200HS 10PG HALF SLOT Strut,87.36,FT
314,H1202HS-20PG Strut BACK TO BACK 20' GALV,561.40,FT
315,H1200P 20PG PUNCHED Strut,235.05,FT
316,S251-26HDGC BRACKETS,"1,972.40",EA
317,B1200S-5SS 304 5' STAINLESS Strut,359.11,FT
318,A1200HS-18FT-6IN-P 1/2 SLOT Strut,"2,488.40",EA
319,BB PAE9999-9 AL PARAGRV CLMP EXTRUD,116.40,EA
320,S251-14HDGC BRACKETS,"1,538.12",EA
321,SP B1400 20B BLACK Strut,40.04,FT
322,SP A1200HS 10B STANDARD StrutS 1 5/8 BY 1 5/8,163.27,FT
323,C14-B PVC CTD Strut STRUT 10FT GRY,44.80,FT
324,A1200KO 20PG GALV KO CHANNL,42.28,EA
325,A1400S-10HDG STANDARD StrutS (HOT DIP GALV FIN,203.88,FT
326,E1200P-10HDG Strut 1 5/8 BY 2 7/8HOT DIP,149.06,EA
327,H1200HS 10GR GRN SLOT STRUT,170.54,FT
328,H1200HS 10PG HALF SLOT Strut,87.36,FT
329,H1202HS-20PG Strut BACK TO BACK 20' GALV,561.40,FT
330,H1200P 20PG PUNCHED Strut,235.05,FT
331,S251-26HDGC BRACKETS,"1,972.40",EA
332,B-995-10-SS 1-1/2X1-1/2 STRUT,200.52,FT
333,"PMU8B Mounting Strut, 31.5""",181.61,EA
334,"EPMC12 Vertical Pole-Mount Strut, 1200mm",246.01,EA
335,"PBP3300-10 Strut, with Holes, PVC Coated Steel, 1.67"" x .92"" x 10'",22.24,FT
336,B1200S-5SS 304 5' STAINLESS Strut,359.11,FT
337,A1200HS-18FT-6IN-P 1/2 SLOT Strut,"2,488.40",EA
338,BB PAE9999-9 AL PARAGRV CLMP EXTRUD,116.40,EA
339,B-900-2A-10 Steel Strut,70.94,FT
340,B1400-10SS Stainless Steel Strut,101.73,FT
341,B-902-20 Steel Strut,85.33,FT
342,A1200 20 Standard Strut,24.71,FT
343,B1200P-10 Punched Strut,72.39,FT
344,PS 500 H 10' ZD PS 500 H 10 ZD,31.14,FT
345,"B-LINE B12A-120GLV(MIG) Strut, 4",258.83,FT
346,"SA158ZN120 Slotted Angle, 14 Gauge, 1-5/8"" x 1-5/8"" x 10' Long",33.16,FT
347,PS 210 2T3 10' PGAL Opticom PS-210-2T3-10-PG,89.14,FT
348,"B22A-120GLV Back to Back Strut, 1-5/8"" x 1-5/8"" x 10', Steel, Galvanized",93.99,FT
349,"B22-240GLV Strut, 1-5/8"" x 1-5/8"" x 20' Long, Galvanized Steel",31.33,FT
350,"B22A-240GLV Strut, 1 5/8-IN. X 1 5/8-IN., BACK TO BACK, 12 GA., 240-IN. (20 FT), GALVANIZE",93.99,FT
351,"A1202HS-10EG Strut - Back To Back, Slots, Steel, Electro-Galvanized, 1-5/8"" x 3-1/4"" x 10'",94.48,FT
352,"B54SHA-120GLV Strut, BACK TO BACK, 12 GA., 120-IN. (10 FT), GALVANIZED",86.37,FT
353,PS 200 H 20' GRN Atkore PS-200-H-20-GR,14.58,FT
354,PS 300 10' GRN Atkore PS-300-10-GR,38.14,FT
355,"B1200HS 10EG Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 13/16"" x 10'",23.09,FT
356,"B1400HS 20EG Strut - Elongated Holes, Steel, Electro-Galvanized, 1-5/8"" x 13/16"" x 20'",21.68,FT
357,"A1200HS 10GR Strut - Elongated Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",22.73,FT
358,"A1202 10PG Strut - Back To Back, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 10'",52.84,FT
359,"A1202HS 10PG Strut, Back-to-Back, 1-5/8"" Width, 10' Long, Steel, Pre-Galvanized",52.84,FT
360,"B52SH-120GRN Strut - Elongated Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",43.98,FT
361,"B22A-120AL Strut - Back To Back, Aluminum, 1-5/8"" x 3-1/4"" x 10'",149.94,FT
362,"A1200HS-10PG Strut, Steel, 1-5/8"" x 1-5/8"" x 10', Pre-Galvanized",17.27,FT
363,"B22-120GRN Strut, 1 5/8-IN. X 1 5/8-IN., 12 GA., 120-IN. (10 FT), GREEN",33.05,FT
364,"A1200-10AL Strut - No Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",70.97,FT
365,B1400HS-10SS HS STRUT 14GA 1-5/8X13/16 10FT SS,101.73,FT
366,"B12-120GLV Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 2-7/16"" x 10'",82.18,FT
367,"B11-240GLV Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 20'",120.61,FT
368,"B54SH-120YZN Strut - Elongated Holes, Steel, Yellow Zinc, 1-5/8"" x 13/16"" x 10'",31.85,FT
369,"B22SH-120HDG Strut w/ Slotted Holes, 1-5/8"" x 1-5/8"" x 10', Steel, Hot Dip Galvanized",47.75,FT
370,PS 200 EH 2T3 10' ZD Strut w/ Elongated Holes On 2 In. Centers,59.24,FT
371,"PS 520 EH 10' PGL Strut with Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" W x 13/16"" D x 10' Long",20.16,FT
372,"PS 200 2T3 10' HDG Strut - Back To Back, Steel, Hot-Dipped Galvanized, 1-5/8"" x 3-1/4"" x 10'",104.14,FT
373,"B54-120 GRN Strut, 13/16-IN. X 1 5/8-IN., 14 GA., 120-IN. (10 FT), GREEN",29.31,FT
374,PS 210 EH 10' GRN Ngated Holes On 2 In. Centers,43.17,FT
375,"PS 200 H 10' PGAL Strut - Bolt Holes, 1-7/8"" Centers, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",14.58,FT
376,PS 520 EH 10' HDG Holes On 2 In. Centers,56.99,FT
377,"PS 500 20' GRN Strut - No Holes, Steel, Green, 1-5/8"" x 13/16"" x 20'",11.27,FT
378,"PS 500 S 10' GRN Strut with 3"" Slots, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",11.27,FT
379,B1202HS-10 B1202 HALF SLOT 10FT RIVETED,71.07,FT
380,BFP22-240 BLI BFP 22-240 20' STRUT,84.80,FT
381,A1200S10ALC 10FT ALUM SLOTTED Strut,179.69,FT
382,"B1202HS-20HDG Strut,B1202,HALFSLOT,BACK-BACK,HD",192.26,FT
383,B1200S 10 13/16 Strut SLOT 10 FT,72.39,FT
384,A1200HS-1T316SS Strut,"2,262.37",FT
385,E1200-20B STD Strut,119.43,FT
386,A1200HS 20T316SS TB A1200HS-20T316SS HS STRUT 12GA 1-,185.15,FT
387,B1202W-20SS COMBO Strut,358.87,FT
388,"B1202W 10PG B1202 Strut, 10' LONG, WELDED",535.97,FT
389,B1400 20EG STD Strut,89.72,FT
390,E1200-10HDG Strut,182.77,FT
391,B1202 20GR GRN BK/BK STRUT,88.48,FT
392,A1400HS-KIT 6 INCH LENGTH STRUT GOLDGALV,300.31,EA
393,B1200-20AL STD Strut,90.64,FT
394,A1200HS-7T316SS STAINLESS Strut 84 INCH,"1,324.21",FT
395,A1200P-10EG A1200P10 WITH ELECTRO GALV FINISH,50.06,FT
396,H1200 20 STD Strut,136.39,FT
397,H1200-10B H120010 W/O PLATING,398.97,FT
398,B1400 20PG 14 GAUGE PRE-GALV Strut 20FT LONG,20.21,FT
399,B1400-20 BAC B140020 HEADBAND 4-STRAP,25.45,FT
400,E1200HS-20EG E SERIES STRUT 20FT WITH EG FINISH,66.00,FT
401,A1400S 10GR GRN SLOT STRUT,37.06,FT
402,A1200 20HDG STD Strut,72.51,FT
403,B1202HS10T316SS Strut,532.64,FT
404,S251-36SS6C STRUT BRACKET 36 INCH SS6C,"4,338.83",EA
405,B1400HS-20 1/2 SLOT Strut,19.09,FT
406,H1202-10HDG Strut,866.19,FT
407,H1202 20 COMBINATION Strut,299.29,FT
408,SP A1200 20B BLACK Strut,93.62,FT
409,A1200S10ALC 10FT ALUM SLOTTED Strut,179.69,FT
410,"B1202HS-20HDG Strut,B1202,HALFSLOT,BACK-BACK,HD",192.26,FT
411,B1200S 10 13/16 Strut SLOT 10 FT,72.39,FT
412,A1400HS 20EG 1/2 SLOT Strut,26.46,FT
413,B1202HS-10 B1202 HALF SLOT 10FT RIVETED,71.07,FT
414,B 900 2A 10 SS Strut 12GA STAINLESS STEEL,596.33,FT
415,B-900-2C-20 Strut,226.00,EA
416,KIN B-905-10-316SS Strut,245.95,FT
417,G 969A CLOSURE STRIP,10.62,FT
418,B1400P-10 PUNCHED STRUT 14GA 1-5/8X13/16 10FT,52.36,FT
419,A1400HS-10 Steel Strut,18.08,FT
420,"B22SH-240YZN Strut, 1 5/8-IN. X 1 5/8-IN., 9/16-IN. X 7/8-IN. SLOTTED HOLES, 12 GA., 240-IN",35.91,FT
421,PS 520 2T3 10' PGAL Atkore PS-520-2T3-10-PG,75.22,FT
422,"B11A-120GLV Strut, 3 1/4-IN. X 1 5/8-IN., BACK TO BACK, 12 GA., 120-IN. (10 FT), GALVANIZE",361.82,FT
423,"A1202HS 10HDG Strut, Back-to-Back, 1-5/8"" Width, 10' Long, Hot Dipped Galvanized",98.54,FT
424,A1400HS-10GR GREEN SLOTCHL,24.08,FT
425,B1200HS-20PG GALV SLOT STRUT,28.47,FT
426,B1202HS-10HDG,320.43,FT
427,SS A1200HS-20GR GREEN SLOTCHL,22.73,FT
428,A1200HS-20SS,153.60,FT
429,B1400-10HDG,114.36,FT
430,SS A1202-20GR GRN BK/BK STRUT,108.36,FT
431,A1202-10GR,108.36,FT
432,"B-LINE B22A-240GRN Strut, 1 5/8-I",99.14,FT
433,"B-LINE B22H17/8-120GRN Strut, 1 5",39.65,FT
434,B-LINE BFV22-240 1 5/8-IN. X 1 5/8-,130.74,FT
435,"B-LINE B22KO6-120GRN Strut, 1 5/8",72.70,FT
436,"B54H17/8-120GLV Strut - Bolt Holes, 1-7/8"" Centers, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",34.05,FT
437,"B-LINE B52SH-240HDG Strut, 13/16-",63.51,FT
438,"B-LINE B52SH-240GRN Strut, 13/16-",43.98,FT
439,"B-LINE B42S-120GRN Strut, 1-IN. X",36.90,FT
440,"B-LINE B24S-120GLV Strut, 1 5/8-I",28.20,FT
441,"J-864 Strut, Slotted, 10' Length, Steel/Galvanized Chrome Finish",33.18,FT
442,A60RP24F5 (2) Angles 49.00'' Long/rack M,408.30,EA
443,BFV22SH-120 1 5/8-IN. X 1 5/8-IN.,219.04,FT
444,"B217AL-120 Closure Strip, Aluminum, 10' Long",67.02,FT
445,"B217-24GLV120 SNAP CLOSURE STRIP FOR ALL 1 5/8-IN. WIDE StrutS, 24 GA., 12",39.62,FT
446,"B22SHA-120GLV Back to Back Strut w/ Slots, 1-5/8"" x 1-5/8"" x 10', Steel, Galvanized",96.99,FT
447,"BFP22-120 1 5/8-IN. X 1 5/8-IN. FIBERGLASS Strut, 120-IN. (10 FT), POLYESTER RESIN",84.80,FT
448,"B22-240GRN Strut, 1 5/8-IN. X 1 5/8-IN., 12 GA., 240-IN. (20 FT), GREEN",33.05,FT
449,PS 200 EH 20' SS PS200EH20SS,55.94,FT
450,"B54A-120GLV Strut, 13/16-IN. X 1 5/8-IN., BACK TO BACK, 14 GA., 120-IN. (10 FT), GALVANIZE",83.36,FT
451,"B1400HS 10GR Strut - Elongated Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",15.49,FT
452,B1200HS-10AL HS STRUT 12GA 1-5/8X13/16 10FT AL,90.64,FT
453,"B24SH-120GLV Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",28.20,FT
454,"B-LINE B22C-120HDG Strut, 1 5/8-I",238.68,FT
455,"B22-240HDG Strut - No Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 1-5/8"" x 20'",47.75,FT
456,"B22SHA-120GRN Strut - Back To Back, Slotted Holes, Steel, Green, 1-5/8"" x 3-1/4"" x 10'",102.31,FT
457,"B54SH-240GRN Strut - Elongated Holes, Steel, Green, 1-5/8"" x 13/16"" x 20'",29.31,FT
458,"B52A-120GLV Strut - Back To Back, Steel, Galvanized, 1-5/8"" x 1-5/8"" x 10'",117.49,FT
459,"B22-120SS6 Strut - No Holes, Stainless Steel 316, 1-5/8"" x 1-5/8"" x 10'",274.90,FT
460,"B22SHA-240GRN Strut - Back To Back, Slotted, Steel, Green, 1-5/8"" x 3-1/4"" x 20'",102.31,FT
461,B 902 10 Steel Strut,85.33,FT
462,"B54-120AL Strut - No Holes, Aluminum, 1-5/8"" x 13/16"" x 10'",44.33,FT
463,PS 150 EH 10' PGAL Ongated Holes On 2 In. Centers,68.18,FT
464,"PS 500 EH 2T3 20' PGL Strut, Back to Back, Steel",61.01,FT
465,"A1200HS-10SS Strut, Stainless Steel, 1-5/8"" x 1-5/8""x 10'",122.88,FT
466,PS 200 EH 2T3 20' HDG Atkore PS-200-EH-2T3-20-HG,104.14,FT
467,"B1400HS 10PG Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",12.13,FT
468,"A1200-10 Strut - No Holes, Steel, Gold, 1-5/8"" x 1-5/8"" x 10'",24.71,FT
469,"PS 300 10' PGAL Strut, No Holes, 1-3/8"" Deep, 1-5/8"" Wide, Steel, Gauge: 12",39.71,FT
470,"PS 100 20' PGAL Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 20'",64.52,FT
471,PS 210 EH 10' ZD Atkore PS-210-EH-10-ZD,41.73,FT
472,"B-LINE B22SH-240AL Strut, 1 5/8-I",53.97,FT
473,"SA276ZN120 Slotted Angle, Steel, Zinc Plated, 14 Gauge, 1-5/8"" x 1-5/8"" x 10'",39.05,FT
474,"B-900-10-EG 1 1/2 Strut,SILVERGALV FINISH",20.50,FT
475,B 900 2A 10 HD 1-1/2X1 STRUT,197.26,FT
476,KIN B-900-10-SS Strut,190.49,FT
477,ROB-R PBSH1000-1 1-5/8 STRUT SLOTTED,41.78,EA
478,B1400P 10GR PUNCHED Strut,63.25,FT
479,E1200HS-20 1/2 SLOT Strut,115.49,FT
480,E1200-20 STD Strut,115.49,FT
481,B1202 10PG COMBNATION Strut,264.58,FT
482,S251 24 SS S251-24 CANT BK-BK STRUT BRKT LEN,"1,798.82",EA
483,A1200S 20EG SS A1200S-20EG SLTD STRUT 12GA 1-5/8,138.68,FT
484,A1400KO-10PG KO STRUT 14GA 1-5/8X1-5/8 10FT PG,158.64,FT
485,"B1202W 10 B1202 Strut, 10' LONG, WELDED",519.22,FT
486,A1400KO-10GR Strut,159.18,FT
487,B1200HS-18FT-6IN-P 1/2 SLOT Strut,"1,775.37",EA
488,B1200-20 STD Strut,31.86,FT
489,ROB-R PBSH1000-2 1-5/8 STRUT SLOTTE,83.51,EA
490,B1202HS 10PG COMBINATION Strut,103.18,FT
491,B1200HS 20HDG HOT DIPPED Strut,311.45,FT
492,H1200-10EG Strut ELECTRO-GALV,97.38,FT
493,H1200HS-10 1/2 SLOT Strut,102.29,FT
494,A1200S-10 SLOTTED Strut,44.90,FT
495,E1200-10 STD Strut,115.49,FT
496,H1202HS-20 Strut,279.21,FT
497,B1200HS 10B SS B1200HS-10B HS STRUT 12GA 1-5/8X1,20.30,EA
498,B1200S-20PG 13/16 Strut SLOT 20 FT PRE GALV,68.37,FT
499,A1400KO-20PG KNOCK-OUT Strut,158.64,FT
500,E120-1/2 SWIVEL HANGER,286.75,EA
501,E1200 10GR Strut (GR. PAINTED FINISH),143.76,FT
502,E1202HS20 BACK TO BACK Strut,243.67,FT
503,A1400 20 STD Strut,30.13,FT
504,A1400 10 STD Strut,30.13,FT
505,A1400HS10T316SS DEEP 14 GAUGE STAINLESS STEEL STRUT,148.12,FT
506,A1200S 10HDG SLOTTED Strut HDG,98.82,FT
507,B1400S 20PG SLOTTED Strut,68.37,FT
508,SP B1400 10B STD BLACK Strut,53.39,FT
509,S251-18HDGC BRACKETS,"1,746.98",EA
510,SP A1200HS 20B STANDARD StrutS 1 5/8 BY 1 5/8,197.25,FT
511,B1400HS 20GR 1/2 SLOT Strut,19.36,FT
512,B1400 20GR STD Strut,25.81,FT
513,E1200-20PG 12 GAUGE Strut 20FTLONG,123.78,FT
514,E1200S 20PG E Strut SLOTTED 20',185.27,FT
515,H1202HS 10PG COMBINATION Strut,336.90,FT
516,S251 18 SS S251-18 CANT BK-BK STRUT BRKT LEN,"1,612.58",EA
517,B1202HS-20EG COMBINATION Strut,290.47,FT
518,E1200HS-10 1/2 Slot Strut,115.49,FT
519,A1200HS 20HDG 1/2 Slot Strut,54.38,FT
520,A1200P-10 Punched Strut,33.67,FT
521,"B1400HS-20PG Strut - Elongated, 1-5/8"" x 13/16"" x 20'",15.16,FT
522,RA-300-10 Metal Framing,19.99,FT
523,TB B140010ALC STRUT 14GA 1-5/8X13/16,212.69,FT
524,C14-G PVC CTD SHALLOW Strut STRUT GRY,44.80,FT
525,A1400HS-10SS SGL FRMG STRUT,223.31,FT
526,"B1400-10GR Strut - No Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",25.81,FT
527,"B-LINE B54H17/8-120SS4 Strut, 13/",171.49,FT
528,"B-LINE B54A-240GLV Strut, 13/16-I",83.36,FT
529,"B-LINE B541ZN BRACKET, 10 1/2-IN.,",313.68,EA
530,"B-LINE B54SH-240YZN Strut, 13/16-",31.85,FT
531,"B42S-120GLV Strut with Slots, 1"" Deep, 1-5/8"" Wide, , Steel, Galvanized, 10' Length",34.98,FT
532,"B-LINE SA318-120ZN SLOTTED ANGLE, 1",54.12,FT
533,"B52S-120GLV Strut with 3"" Slots, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",39.19,FT
534,"B-LINE B54A-120SS4 Strut, 13/16-I",419.69,FT
535,"B-LINE B24A-120GLV Strut, 1 5/8-I",84.60,FT
536,SS B1202HS-10EG MTL FRMG STRUT,290.47,FT
537,B22120PLN BLI B22PLN10 ZINC NO HOLE,30.70,FT
538,"B11SH-120GRN Strut - Elongated Holes, Steel, Green, 1-5/8"" x 3-1/4"" x 10'",129.86,FT
539,A12A-G 1 5/8 Ocal A12a Strut Gray,116.94,FT
540,"B217PGRN120 PLASTIC CLOSURE STRIP, 120-IN. (10 FT), GREEN",23.02,FT
541,"PBP1000-10 Strut - No Holes, PVC Coated Steel, 1-5/8"" x 1-5/8"" x 10'",30.70,FT
542,"B22S-240GLV Strut, 1 5/8-IN. X 1 5/8-IN., 13/32-IN. X 3-IN. SLOTS, 12 GA., 240-IN. (20 FT)",31.33,FT
543,"B22S-120GRN Strut, 1 5/8-IN. X 1 5/8-IN., 13/32-IN. X 3-IN. SLOTS, 12 GA., 120-IN. (10 FT)",33.05,FT
544,A1202-10 Combo Strut,74.82,FT
545,PS 200 S 10' SS PST PS200S 10SS,55.94,FT
546,"PS 210 10' SS 1 5/8"" X 1 5/8"" X 14",87.52,FT
547,A1400HS-10EG HS STRUT 14GA 1-5/8X1-5/8 10FT EG,19.85,FT
548,"B1400HS 10EG Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 13/16"" x 10'",13.01,FT
549,A1202HS 20EG COMBO-Strut ELECTRO-GALV.,94.48,FT
550,"A1200HS 10T316SS Strut - Elongated Holes, Stainless Steel, 1-5/8"" x 1-5/8"" x 10'",148.12,FT
551,"A1200HS 10AL Strut, Elongated Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",70.97,FT
552,"B54SH-120AL Strut - Elongated Holes, Aluminum, 1-5/8"" x 13/16"" x 10'",48.32,FT
553,"B24SH-120GRN Strut - Elongated Holes, Steel, Green, 1-5/8"" x 1-5/8"" x 10'",29.75,FT
554,"B54-120 HDG Strut, No Holes, Steel, 14 Gauge, Hot-Dip, 1-5/8"" W x  13/16"" D x 10'",42.34,FT
555,"B-LINE B11-120GLV Strut, 3 1/4-IN",120.61,FT
556,"B22SH-120AL Strut, Elongated Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",53.97,FT
557,"B54S-120GLV Strut w/ 3"" Slots, 13/16 D x 1-5/8"" W x 10' Long, Galvanized Steel",27.79,FT
558,"PS 200 KO6 10' PGAL Strut, Metal, 12 Gauge, 1-5/8 x 1-5/8"", 10', Solid",38.08,FT
559,"PA 238 10' PGAL Slotted Angle, Steel, Zinc Plated, 14 Gauge, 2-3/8"" x 1-5/8"" x 10'",23.27,FT
560,"PS 520 10' PGAL Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",20.16,FT
561,"B22A-120HDG Strut, 1 5/8-IN. X 1 5/8-IN., BACK TO BACK, 12 GA., 120-IN. (10 FT), HOT DIP G",143.19,FT
562,"PS 200 EH 20' GRN 12 Gauge, Steel Strut",14.43,FT
563,"PS 500 S 10' PGAL Strut with 3"" Slots, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",11.27,FT
564,"PS 200 H 20' PGAL Strut, Bolt Holes, Steel, 1-5/8"" x 1-5/8"" x 20'",14.58,FT
565,PS 500 S 20' PGAL N 4 In. Centers,11.27,FT
566,"PS 200 S 10' GRN Strut with 3"" Slots, Steel, Green, 1-5/8"", 10'",14.43,FT
567,"B1400 10PG Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",15.16,FT
568,"PS200EH2T310DF Strut - Back To Back, Steel, Holes, Defender, 1-5/8"" x 3-1/4"" x 10'",104.14,FT
569,"B-LINE B22A-240SS6 Strut, 1 5/8-I",824.59,FT
570,"B-LINE B12SH-120HDG Strut, 2 7/16",128.98,FT
571,"B-LINE B54SH-240HDG Strut, 13/16-",42.34,FT
572,"A1200S-10EG Slotted Strut, 12 Gauge, 1-5/8 Inch X 1-5/8 Inch",50.06,FT
573,"B-LINE B54A-120GRN Strut, 13/16-I",87.93,FT
574,PAE9939-9 Ext Pargrv Clmp,48.90,EA
575,ROB-R PBSH1000-3 1-5/8 STRUT SLOTTE,125.30,EA
576,A12P-B PVC CTD STND PUNCH STRUT STRUT BLU,67.43,FT
577,E1200P-10 Strut,542.94,FT
578,A1200P-10B PUNCHED Strut,116.16,FT
579,A1200HS-5T316SS Strut,538.30,FT
580,B1400HS-1 Strut 1' HALF SLOT,229.33,FT
581,E1202-20 COMBNATION Strut,"1,192.74",FT
582,A1400S-6B A1400S 6 FT WITH NO PLATING,151.43,FT
583,S251-38HDGC BRACKETS,"2,960.87",EA
584,B1400S-10 SLOTTED Strut,23.86,FT
585,B1200HS-10WH Strut,136.60,EA
586,B1202-18 COMBINATION Strut,320.23,FT
587,B1202 10 COMBINATION Strut,112.76,FT
588,B1200P-10GR Strut,142.59,FT
589,B1202 10HDG COMBNATION Strut,320.43,FT
590,H1200 10HDG STD Strut,208.71,FT
591,H1200 10GR GREEN Strut,172.97,FT
592,B1200S 10GR 13/16 Strut SLOT 10 FT GREEN,36.63,FT
593,A1202HS 20GR Strut (GR. PAINTED FINISH),81.27,FT
594,B1400HS-20B Strut,53.39,FT
595,A1200S-20 SLOTTED Strut,44.90,FT
596,A12-B 1 5/8 OCAL A12 Strut,61.86,FT
597,A1400 20GR GREEN COATED Strut,36.56,FT
598,B1200P 10PG PUNCHED Strut,85.36,FT
599,A1200HS-5 5 FOOT Strut,193.11,FT
600,S251 24HDG BRACKET,"2,992.36",EA
601,SP A1202 20SS STAINLESS COMBONATION,"1,683.17",FT
602,A1200HS-4INCH-EG 4 IN SAMPLE SILVERGALV STRUT,175.12,EA
603,A1200P 10SS 1-5/8in12GA  9/16 PUNCHED STAINLESS,"1,476.37",FT
604,A1200-20FT-7/8IN STD. Strut,"2,192.45",EA
605,A1200S-10GR SLTD STRUT 12GA 1-5/8X1-5/8 10FT GRN,40.08,FT
606,H1200 10 STD Strut,136.39,FT
607,A1200HS10BC STANDARD Strut 1 5/8 X 1 5/8 BARE,200.97,FT
608,"B-LINE B12SH-240HDG Strut, 2 7/16",128.98,FT
609,"B54-240 SS4 B-LINE B54-240-SS4 Strut, 13/16-I",139.90,FT
610,"B-LINE B52SH-120YZN Strut, 13/16-",47.79,FT
611,"EPMC9 Vertical Pole-Mount Strut, 900mm",222.83,EA
612,B 900 10 PG Strut 12GA 1 1/2 X 1 1/2 (PREGALV,91.06,FT
613,B 906 10 GR 10FT Strut,15.39,FT
614,"B 905HS 10 EG 1 1/2 Strut, SILVERGALV FINISH",19.84,FT
615,B-907HS-10 KD HALF SLOT STEEL Strut,15.00,FT
616,BB PAE9941-9 AL PARAGRV CLMP EXTRUD,54.75,EA
617,B-907-20 Steel Strut,15.00,FT
618,"BFP42SH-120 1-IN. X 1 5/8-IN. FIBERGLASS Strut, 9/16-IN. X 7/8-IN. SLOTS, 120-IN. (10 FT),",169.60,FT
619,G-975-10  STRUT 12GA 1.5X1.5 10FT STL 1/2 HOLE,21.33,FT
620,B-906-AL-10 Aluminum Strut,25.77,FT
621,PS 500 EH 20' GRN Ngated Holes On 2 In. Centers,11.27,FT
622,B1200HS-20 HS STRUT 12GA 1-5/8X13/16 20FT STL,23.90,FT
623,A1200-20EG  STRUT 12GA 1-5/8X1-5/8 20FT EG STL,31.22,FT
624,"B1400 10EG Strut - No Holes, Steel, Electroplated, 1-5/8"" x 1-5/8"" x 10'",21.68,FT
625,SP A1200 10B CHNL 12GA 1-5/8X1-5/8IN 10FT BLK,93.62,FT
626,G-953-20 FIXT HANGING STRUT,44.87,FT
627,SS A1200P-10PG GALV HOLE STRUT,42.28,FT
628,A1400 10PG SS A1400-10PG STRUT 14GA 1-5/8X1-5/8,18.58,FT
629,A1202HS-20HDG,131.38,FT
630,SS A1400S-10PG GALV SLOT STRUT,27.77,FT
631,A1400HS-20PG GALV SLOT STRUT,18.58,FT
632,"B54H17/8-120GRN Strut - Bolt Holes, Steel, Green, 1-5/8"" x 13/16"" x 10'",35.91,FT
633,A1400-10EG  STRUT 14GA 1-5/8X1-5/8 10FT EG STL,26.46,FT
634,B1200 10AL SS B1200-10AL STRUT 12GA 1-5/8X13/16,90.64,FT
635,"B-LINE B42SH-120GRN Strut, 1-IN.",39.55,FT
636,"B22SHA-240HDG Strut - Back To Back, Slotted, Steel, Hot Dip Galvanized, 1-5/8"" x 3-1/4"" x 20'",147.82,FT
637,"B-LINE B52SHA-120HDG Strut, 13/16",183.67,FT
638,"B42-120GRN Strut - No Holes, Steel, Steel, Green, 1-5/8"" x 1"" x 10'",36.90,FT
639,"B52H17/8-120GLV Strut - Bolt Holes, 1-7/8"" Centers, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",45.46,FT
640,A60RP24F6 (2) Angles 26.25' long/rack m,240.86,EA
641,"B22-240SS4 Strut - No Holes, Stainless Steel 304, 1-5/8"" x 1-5/8"" x 20'",157.75,FT
642,"B-LINE B12-120HDG Strut, 2 7/16-I",125.21,FT
643,"B22SHA-240GLV Strut, 1 5/8-IN. X 1 5/8-IN., BACK TO BACK, 9/16-IN. X 7/8-IN. SLOTS, 12 GA.,",96.99,FT
644,"B217-20GRN120 SNAP CLOSURE STRIP FOR ALL 1 5/8-IN. WIDE StrutS, 20 GA., 12",44.33,FT
645,"B52-120 GLV Strut, 13/16-IN. X 1 5/8-IN., 12 GA., 120-IN. (10 FT), GALVANIZED",39.19,FT
646,PS 200 S 10' HDG N 4 In. Centers,47.18,FT
